,Season,Week,Team,Defense,,
192,2020,11,NO,ATL,,
193,2020,11,LAR,TB,,
194,2020,11,MIN,DAL,,
195,2020,11,TEN,BAL,,
196,2020,11,GB,IND,,
197,2020,11,LV,KC,,
198,2020,11,KC,LV,,
199,2020,11,IND,GB,,
200,2020,11,ARI,SEA,,
201,2020,11,SEA,ARI,,
202,2020,11,NE,HOU,,
203,2020,11,DAL,MIN,,
204,2020,11,PIT,JAX,,
205,2020,11,BAL,TEN,,
206,2020,11,PHI,CLE,,
207,2020,11,NYJ,LAC,,
208,2020,11,TB,LAR,,
209,2020,11,CIN,WAS,,
210,2020,11,DEN,MIA,,
211,2020,11,CAR,DET,,
212,2020,11,WAS,CIN,,
213,2020,11,DET,CAR,,
214,2020,11,MIA,DEN,,
215,2020,11,CLE,PHI,,
216,2020,11,ATL,NO,,
217,2020,11,JAX,PIT,,
218,2020,10,TB,CAR,,
219,2020,10,ARI,BUF,,
220,2020,10,PIT,CIN,,
221,2020,10,BUF,ARI,,
222,2020,10,GB,JAX,,
223,2020,10,DET,WAS,,
224,2020,10,NYG,PHI,,
225,2020,10,BAL,NE,,
226,2020,10,LAC,MIA,,
227,2020,10,CAR,TB,,
228,2020,10,MIN,CHI,,
229,2020,10,NE,BAL,,
230,2020,10,IND,TEN,,
231,2020,10,WAS,DET,,
232,2020,10,MIA,LAC,,
233,2020,10,HOU,CLE,,
234,2020,10,CIN,PIT,,
235,2020,10,TEN,IND,,
236,2020,10,LAR,SEA,,
237,2020,10,SF,NO,,
238,2020,10,SEA,LAR,,
239,2020,10,JAX,GB,,
240,2020,10,PHI,NYG,,
241,2020,10,LV,DEN,,
242,2020,10,DEN,LV,,
243,2020,10,NO,SF,,
244,2020,10,CLE,HOU,,
245,2020,10,CHI,MIN,,
246,2020,9,ARI,MIA,,
247,2020,9,BUF,SEA,,
248,2020,9,KC,CAR,,
249,2020,9,DEN,ATL,,
250,2020,9,GB,SF,,
251,2020,9,CAR,KC,,
252,2020,9,PIT,DAL,,
253,2020,9,NE,NYJ,,
254,2020,9,HOU,JAX,,
255,2020,9,LAC,LV,,
256,2020,9,NO,TB,,
257,2020,9,ATL,DEN,,
258,2020,9,SEA,BUF,,
259,2020,9,CHI,TEN,,
260,2020,9,JAX,HOU,,
261,2020,9,MIA,ARI,,
262,2020,9,MIN,DET,,
263,2020,9,NYJ,NE,,
264,2020,9,BAL,IND,,
265,2020,9,TEN,CHI,,
266,2020,9,DAL,PIT,,
267,2020,9,LV,LAC,,
268,2020,9,NYG,WAS,,
269,2020,9,SF,GB,,
270,2020,9,WAS,NYG,,
271,2020,9,DET,MIN,,
272,2020,9,IND,BAL,,
273,2020,9,TB,NO,,
274,2020,8,KC,NYJ,,
275,2020,8,SEA,SF,,
276,2020,8,GB,MIN,,
277,2020,8,DET,IND,,
278,2020,8,IND,DET,,
279,2020,8,LAC,DEN,,
280,2020,8,DEN,LAC,,
281,2020,8,NO,CHI,,
282,2020,8,TB,NYG,,
283,2020,8,CIN,TEN,,
284,2020,8,NE,BUF,,
285,2020,8,ATL,CAR,,
286,2020,8,SF,SEA,,
287,2020,8,TEN,CIN,,
288,2020,8,CHI,NO,,
289,2020,8,NYG,TB,,
290,2020,8,PIT,BAL,,
291,2020,8,BAL,PIT,,
292,2020,8,LV,CLE,,
293,2020,8,BUF,NE,,
294,2020,8,CAR,ATL,,
295,2020,8,MIN,GB,,
296,2020,8,LAR,MIA,,
297,2020,8,PHI,DAL,,
298,2020,8,CLE,LV,,
299,2020,8,NYJ,KC,,
300,2020,8,MIA,LAR,,
301,2020,8,DAL,PHI,,
302,2020,7,LAC,JAX,,
303,2020,7,ARI,SEA,,
304,2020,7,TB,LV,,
305,2020,7,CIN,CLE,,
306,2020,7,SEA,ARI,,
307,2020,7,CLE,CIN,,
308,2020,7,PHI,NYG,,
309,2020,7,GB,HOU,,
310,2020,7,HOU,GB,,
311,2020,7,NO,CAR,,
312,2020,7,NYG,PHI,,
313,2020,7,LV,TB,,
314,2020,7,CAR,NO,,
315,2020,7,JAX,LAC,,
316,2020,7,DET,ATL,,
317,2020,7,TEN,PIT,,
318,2020,7,LAR,CHI,,
319,2020,7,WAS,DAL,,
320,2020,7,BUF,NYJ,,
321,2020,7,ATL,DET,,
322,2020,7,DEN,KC,,
323,2020,7,PIT,TEN,,
324,2020,7,KC,DEN,,
325,2020,7,SF,NE,,
326,2020,7,CHI,LAR,,
327,2020,7,DAL,WAS,,
328,2020,7,NE,SF,,
329,2020,7,NYJ,BUF,,
330,2020,6,HOU,TEN,,
331,2020,6,ATL,MIN,,
332,2020,6,PHI,BAL,,
333,2020,6,ARI,DAL,,
334,2020,6,TEN,HOU,,
335,2020,6,BAL,PHI,,
336,2020,6,IND,CIN,,
337,2020,6,MIN,ATL,,
338,2020,6,SF,LAR,,
339,2020,6,KC,BUF,,
340,2020,6,NE,DEN,,
341,2020,6,JAX,DET,,
342,2020,6,CIN,IND,,
343,2020,6,CHI,CAR,,
344,2020,6,MIA,NYJ,,
345,2020,6,WAS,NYG,,
346,2020,6,BUF,KC,,
347,2020,6,LAR,SF,,
348,2020,6,TB,GB,,
349,2020,6,NYG,WAS,,
350,2020,6,DET,JAX,,
351,2020,6,DAL,ARI,,
352,2020,6,PIT,CLE,,
353,2020,6,CAR,CHI,,
354,2020,6,NYJ,MIA,,
355,2020,6,CLE,PIT,,
356,2020,6,GB,TB,,
357,2020,6,DEN,NE,,
358,2020,5,TEN,BUF,,
359,2020,5,KC,LV,,
360,2020,5,MIA,SF,,
361,2020,5,LAC,NO,,
362,2020,5,ARI,NYJ,,
363,2020,5,HOU,JAX,,
364,2020,5,SEA,MIN,,
365,2020,5,LAR,WAS,,
366,2020,5,LV,KC,,
367,2020,5,PIT,PHI,,
368,2020,5,NO,LAC,,
369,2020,5,CAR,ATL,,
370,2020,5,JAX,HOU,,
371,2020,5,PHI,PIT,,
372,2020,5,BUF,TEN,,
373,2020,5,CLE,IND,,
374,2020,5,MIN,SEA,,
375,2020,5,TB,CHI,,
376,2020,5,NYJ,ARI,,
377,2020,5,BAL,CIN,,
378,2020,5,DAL,NYG,,
379,2020,5,CHI,TB,,
380,2020,5,WAS,LAR,,
381,2020,5,NYG,DAL,,
382,2020,5,ATL,CAR,,
383,2020,5,SF,MIA,,
384,2020,5,IND,CLE,,
385,2020,5,CIN,BAL,,
386,2020,4,DAL,CLE,,
387,2020,4,TB,LAC,,
388,2020,4,GB,ATL,,
389,2020,4,CAR,ARI,,
390,2020,4,BUF,LV,,
391,2020,4,BAL,WAS,,
392,2020,4,NYJ,DEN,,
393,2020,4,ARI,CAR,,
394,2020,4,LAC,TB,,
395,2020,4,DET,NO,,
396,2020,4,PHI,SF,,
397,2020,4,MIA,SEA,,
398,2020,4,JAX,CIN,,
399,2020,4,SEA,MIA,,
400,2020,4,HOU,MIN,,
401,2020,4,LV,BUF,,
402,2020,4,KC,NE,,
403,2020,4,WAS,BAL,,
404,2020,4,NO,DET,,
405,2020,4,CLE,DAL,,
406,2020,4,CIN,JAX,,
407,2020,4,MIN,HOU,,
408,2020,4,ATL,GB,,
409,2020,4,CHI,IND,,
410,2020,4,LAR,NYG,,
411,2020,4,IND,CHI,,
412,2020,4,DEN,NYJ,,
413,2020,4,NYG,LAR,,
414,2020,4,SF,PHI,,
415,2020,4,NE,KC,,
416,2020,3,KC,BAL,,
417,2020,3,SEA,DAL,,
418,2020,3,BUF,LAR,,
419,2020,3,DAL,SEA,,
420,2020,3,LAR,BUF,,
421,2020,3,GB,NO,,
422,2020,3,MIA,JAX,,
423,2020,3,TB,DEN,,
424,2020,3,NO,GB,,
425,2020,3,ARI,DET,,
426,2020,3,PHI,CIN,,
427,2020,3,CIN,PHI,,
428,2020,3,MIN,TEN,,
429,2020,3,PIT,HOU,,
430,2020,3,DET,ARI,,
431,2020,3,SF,NYG,,
432,2020,3,CHI,ATL,,
433,2020,3,HOU,PIT,,
434,2020,3,LV,NE,,
435,2020,3,LAC,CAR,,
436,2020,3,CAR,LAC,,
437,2020,3,CLE,WAS,,
438,2020,3,BAL,KC,,
439,2020,3,IND,NYJ,,
440,2020,3,TEN,MIN,,
441,2020,3,ATL,CHI,,
442,2020,3,NE,LV,,
443,2020,3,DEN,TB,,
444,2020,3,JAX,MIA,,
445,2020,3,WAS,CLE,,
446,2020,3,NYG,SF,,
447,2020,3,NYJ,IND,,
448,2020,2,DAL,ATL,,
449,2020,2,NE,SEA,,
450,2020,2,BUF,MIA,,
451,2020,2,SEA,NE,,
452,2020,2,ARI,WAS,,
453,2020,2,ATL,DAL,,
454,2020,2,KC,LAC,,
455,2020,2,TEN,JAX,,
456,2020,2,CIN,CLE,,
457,2020,2,MIA,BUF,,
458,2020,2,LAR,PHI,,
459,2020,2,JAX,TEN,,
460,2020,2,LAC,KC,,
461,2020,2,LV,NO,,
462,2020,2,DEN,PIT,,
463,2020,2,PIT,DEN,,
464,2020,2,GB,DET,,
465,2020,2,BAL,HOU,,
466,2020,2,DET,GB,,
467,2020,2,CLE,CIN,,
468,2020,2,HOU,BAL,,
469,2020,2,NO,LV,,
470,2020,2,SF,NYJ,,
471,2020,2,CHI,NYG,,
472,2020,2,PHI,LAR,,
473,2020,2,NYJ,SF,,
474,2020,2,WAS,ARI,,
475,2020,2,IND,MIN,,
476,2020,2,TB,CAR,,
477,2020,2,CAR,TB,,
478,2020,2,NYG,CHI,,
479,2020,2,MIN,IND,,
480,2020,1,SEA,ATL,,
481,2020,1,GB,MIN,,
482,2020,1,BUF,NYJ,,
483,2020,1,BAL,CLE,,
484,2020,1,ARI,SF,,
485,2020,1,NE,MIA,,
486,2020,1,CHI,DET,,
487,2020,1,ATL,SEA,,
488,2020,1,PIT,NYG,,
489,2020,1,MIN,GB,,
490,2020,1,HOU,KC,,
491,2020,1,JAX,IND,,
492,2020,1,TB,NO,,
493,2020,1,KC,HOU,,
494,2020,1,TEN,DEN,,
495,2020,1,CAR,LV,,
496,2020,1,SF,ARI,,
497,2020,1,DAL,LAR,,
498,2020,1,NYG,PIT,,
499,2020,1,CIN,LAC,,
500,2020,1,DET,CHI,,
501,2020,1,IND,JAX,,
502,2020,1,NO,TB,,
503,2020,1,LV,CAR,,
504,2020,1,DEN,TEN,,
505,2020,1,PHI,WAS,,
506,2020,1,WAS,PHI,,
507,2020,1,NYJ,BUF,,
508,2020,1,LAR,DAL,,
509,2020,1,CLE,BAL,,
510,2020,1,LAC,CIN,,
511,2020,1,MIA,NE,,
512,2019,17,DAL,WAS,,
513,2019,17,LAR,ARI,,
514,2019,17,JAX,IND,,
515,2019,17,MIA,NE,,
516,2019,17,NO,CAR,,
517,2019,17,SEA,SF,,
518,2019,17,CLE,CIN,,
519,2019,17,LV,DEN,,
520,2019,17,GB,DET,,
521,2019,17,TEN,HOU,,
522,2019,17,PHI,NYG,,
523,2019,17,HOU,TEN,,
524,2019,17,CIN,CLE,,
525,2019,17,LAC,KC,,
526,2019,17,NE,MIA,,
527,2019,17,NYG,PHI,,
528,2019,17,TB,ATL,,
529,2019,17,ATL,TB,,
530,2019,17,ARI,LAR,,
531,2019,17,DEN,LV,,
532,2019,17,DET,GB,,
533,2019,17,SF,SEA,,
534,2019,17,KC,LAC,,
535,2019,17,CAR,NO,,
536,2019,17,WAS,DAL,,
537,2019,17,NYJ,BUF,,
538,2019,17,BAL,PIT,,
